geo_code,geo_label,geo_labelw,label,name,x,y
E05004142,Tiptree,,E92000001E05004142,Tiptree,589044.078877707,216000.913098553
E05008819,Seales,,E92000001E05008819,Seales,425186.748099532,314733.563319749
95FF11,Katesbridge,,N9200000295FF11   ,Katesbridge,131300.388889857,496217.589296017
E05004273,Saffron Walden Audley,,E92000001E05004273,Saffron Walden Audley,553267.119193253,237318.031030088
W05000490,Llangadog,Llangadog,W92000004W05000490,Llangadog,275403.092814219,225448.617801288
E05003539,Chittlehampton,,E92000001E05003539,Chittlehampton,265293.229634081,123455.908001121
E05003995,Danehill/Fletching/Nutley,,E92000001E05003995,Danehill/Fletching/Nutley,543588.027460823,124376.511759685
E05007979,Delves Lane and Consett South,,E92000001E05007979,Delves Lane and Consett South,410452.641591833,550004.734090225
W05000919,Cefn Fforest,Cefn Fforest,W92000004W05000919,Cefn Fforest,316353.218420435,197366.04481767
E05002206,Round Green,,E92000001E05002206,Round Green,510217.366845058,222760.72624617
E05008515,West Wight,,E92000001E05008515,West Wight,441370.946505357,88927.6697139473
95RR02,Ballykelly,,N9200000295RR02   ,Ballykelly,81310.5585979967,583758.446593069
E05007377,Chobham,,E92000001E05007377,Chobham,497606.130392895,163347.864733917
E05000940,Harington,,E92000001E05000940,Harington,327551.85146521,406863.19414091
E05003685,St Leonards and St Ives East,,E92000001E05003685,St Leonards and St Ives East,412310.031870978,103286.401820909
S13002776,Shetland South,,S92000003S13002776,Shetland South,439119.577307941,1120657.28098616
E05003335,Moor,,E92000001E05003335,Moor,437954.115279481,373121.614200475
E05005034,Dymchurch and St Mary's Bay,,E92000001E05005034,Dymchurch and St Mary's Bay,610000.895262107,129535.953983099
E05008674,Grange,,E92000001E05008674,Grange,339151.640188431,376176.308558252
E05008246,Lostwithiel,,E92000001E05008246,Lostwithiel,213623.646701704,58891.3487838513
E05003165,Dalston,,E92000001E05003165,Dalston,338990.946911556,549267.152459536
E05006236,White Horse,,E92000001E05006236,White Horse,451176.343549459,477421.12585758
E05003545,Heanton Punchardon,,E92000001E05003545,Heanton Punchardon,250873.614861552,134884.490032103
E05001599,Bewsey and Whitecross,,E92000001E05001599,Bewsey and Whitecross,359688.974453799,388289.758939803
E05003959,Peacehaven West,,E92000001E05003959,Peacehaven West,540813.150429394,101333.302289399
E05005898,Hingham and Deopham,,E92000001E05005898,Hingham and Deopham,603321.355799393,301315.47550607
E05000233,Chatham,,E92000001E05000233,Chatham,535440.05039588,185077.432355016
S13002731,Wishaw,,S92000003S13002731,Wishaw,278711.403340344,653803.770585435
E05004626,Wellington,,E92000001E05004626,Wellington,485536.556961188,151446.97861909
E05001973,Avonmouth,,E92000001E05001973,Avonmouth,337989.79764058,172516.431666695
